  ID              Fitting        Velocity               Q          DeltaP        Diameter
 1.0    air_handling_unit           0.000           645.0           0.000           0.000
 3.0                 duct           0.000           645.0           0.000           0.000
 4.0                  tee           0.000           645.0           0.000           0.000
 5.0                 duct           0.000           390.0           0.000           0.000
 6.0                  tee           0.000           390.0           0.000           0.000
 7.0                 duct           0.000           255.0           0.000           0.000
 8.0                  tee           0.000           255.0           0.000           0.000
 9.0                elbow           0.000           125.0           0.000           0.000
10.0                 duct           0.000           125.0           0.000           0.000
11.0             diffuser           0.000           125.0           0.000           0.000
12.0                 duct           0.000           130.0           0.000           0.000
13.0             diffuser           0.000           130.0           0.000           0.000
14.0                 duct           0.000           135.0           0.000           0.000
16.0             diffuser           0.000           135.0           0.000           0.000
17.0                 duct           0.000           255.0           0.000           0.000
18.0                  tee           0.000           255.0           0.000           0.000
19.0                 duct           0.000           150.0           0.000           0.000
20.0             diffuser           0.000           150.0           0.000           0.000
21.0                 duct           0.000           105.0           0.000           0.000
22.0                elbow           0.000           105.0           0.000           0.000
23.0                 duct           0.000           105.0           0.000           0.000
24.0             diffuser           0.000           105.0           0.000           0.000
